Date,Average Households CPI
Jan 2006,2.302168831
Feb 2006,2.263098586
Mar 2006,1.985952681
Apr 2006,2.335195471
May 2006,2.351206985
Jun 2006,2.656322216
Jul 2006,2.270906405
Aug 2006,2.293212128
Sep 2006,2.628985265
Oct 2006,2.629423172
Nov 2006,3.063263844
Dec 2006,3.11776268
Jan 2007,2.790685458
Feb 2007,2.914740005
Mar 2007,3.203089223
Apr 2007,2.880387364
May 2007,2.571385053
Jun 2007,2.477643139
Jul 2007,1.873500672
Aug 2007,1.776984355
Sep 2007,1.815881187
Oct 2007,2.148793409
Nov 2007,2.158825535
Dec 2007,2.182758808
Jan 2008,2.25036918
Feb 2008,2.562984907
Mar 2008,2.496831357
Apr 2008,2.976119935
May 2008,3.347815136
Jun 2008,3.812240682
Jul 2008,4.432381159
Aug 2008,4.780021313
Sep 2008,5.286091055
Oct 2008,4.521742845
Nov 2008,4.131013243
Dec 2008,3.095064695
Jan 2009,3.08688319
Feb 2009,3.197138127
Mar 2009,2.913536039
Apr 2009,2.300889716
May 2009,2.194954516
Jun 2009,1.777594497
Jul 2009,1.759671812
Aug 2009,1.503398901
Sep 2009,0.934133499
Oct 2009,1.376624067
Nov 2009,1.752488743
Dec 2009,2.767066006
Jan 2010,3.33519618
Feb 2010,2.834904454
Mar 2010,3.258680249
Apr 2010,3.620399906
May 2010,3.304655223
Jun 2010,3.175768941
Jul 2010,2.98476954
Aug 2010,3.05562394
Sep 2010,3.078332943
Oct 2010,3.133395857
Nov 2010,3.249586857
Dec 2010,3.647114494
Jan 2011,3.885114039
Feb 2011,4.24381483
Mar 2011,3.908182972
Apr 2011,4.406844854
May 2011,4.359340837
Jun 2011,4.117306754
Jul 2011,4.393469682
Aug 2011,4.489447495
Sep 2011,5.082925723
Oct 2011,4.904130693
Nov 2011,4.645332225
Dec 2011,4.172996625
Jan 2012,3.42776044
Feb 2012,3.299379274
Mar 2012,3.367847292
Apr 2012,2.964659777
May 2012,2.723562939
Jun 2012,2.452192385
Jul 2012,2.641169976
Aug 2012,2.633705272
Sep 2012,2.221241432
Oct 2012,2.567773229
Nov 2012,2.565945455
Dec 2012,2.663746185
Jan 2013,2.896403613
Feb 2013,2.962787443
Mar 2013,2.988471482
Apr 2013,2.573566612
May 2013,2.824559154
Jun 2013,2.993242742
Jul 2013,2.708922037
Aug 2013,2.553118711
Sep 2013,2.740950001
Oct 2013,2.417170902
Nov 2013,2.346192447
Dec 2013,2.157648843
Jan 2014,1.949413455
Feb 2014,1.813141592
Mar 2014,1.713749445
Apr 2014,1.814574432
May 2014,1.54124689
Jun 2014,1.942510293
Jul 2014,1.657313076
Aug 2014,1.620531951
Sep 2014,1.240452622
Oct 2014,1.198181476
Nov 2014,0.866802905
Dec 2014,0.470455145
Jan 2015,0.237804794
Feb 2015,-0.039124217
Mar 2015,-0.096956238
Apr 2015,-0.217002605
May 2015,0.009530045
Jun 2015,-0.161086645
Jul 2015,0.020833759
Aug 2015,-0.141829596
Sep 2015,-0.23545709
Oct 2015,-0.141058086
Nov 2015,0.079589764
Dec 2015,0.120881463
Jan 2016,0.278772847
Feb 2016,0.258066123
Mar 2016,0.382621326
Apr 2016,0.256575555
May 2016,0.284700407
Jun 2016,0.427389407
Jul 2016,0.51583271
Aug 2016,0.604524147
Sep 2016,0.912567996
Oct 2016,0.830713383
Nov 2016,1.079024733
Dec 2016,1.448206308
Jan 2017,1.666150816
Feb 2017,2.155446219
Mar 2017,2.255018692
Apr 2017,2.57433797
May 2017,2.754685685
Jun 2017,2.540314578
Jul 2017,2.544716871
Aug 2017,2.776558768
Sep 2017,2.908723192
Oct 2017,2.988617422
Nov 2017,3.081898734
Dec 2017,2.999436013
Jan 2018,3.026622418
Feb 2018,2.741841017
Mar 2018,2.476651524
Apr 2018,2.442575982
May 2018,2.444293878
Jun 2018,2.468742101
Jul 2018,2.480829556
Aug 2018,2.647407073
Sep 2018,2.44218464
Oct 2018,2.398486762
Nov 2018,2.312569142
Dec 2018,2.05879777
Jan 2019,1.762401476
Feb 2019,1.778330765
Mar 2019,1.835070226
Apr 2019,2.058536925
May 2019,1.981308055
Jun 2019,1.960545404
Jul 2019,2.0481395
Aug 2019,1.708889951
Sep 2019,1.66820697
Oct 2019,1.385304546
Nov 2019,1.406427416
Dec 2019,1.296693977
Jan 2020,1.772163574
Feb 2020,1.685843746
Mar 2020,1.507071602
Apr 2020,0.744609254
May 2020,0.457319657
Jun 2020,0.592529827
Jul 2020,1.017113467
Aug 2020,0.237036204
Sep 2020,0.480748848
Oct 2020,0.690365084
Nov 2020,0.287173987
Dec 2020,0.573422328
Jan 2021,0.673467472
Feb 2021,0.400691835
Mar 2021,0.696261568
Apr 2021,1.474988326
May 2021,2.101131425
Jun 2021,2.488639887
Jul 2021,1.997033002
Aug 2021,3.103904907
Sep 2021,3.051124637
Oct 2021,4.218728961
Nov 2021,5.13080705
Dec 2021,5.395637663
Jan 2022,5.5
Feb 2022,6.2
Mar 2022,7
Apr 2022,9
May 2022,9.1
Jun 2022,9.4
Jul 2022,10.1
Aug 2022,9.9
