Date,Average Salary
Jan 2000,1332
Feb 2000,1302
Mar 2000,1343
Apr 2000,1343
May 2000,1353
Jun 2000,1347
Jul 2000,1361
Aug 2000,1367
Sep 2000,1376
Oct 2000,1379
Nov 2000,1387
Dec 2000,1409
Jan 2001,1405
Feb 2001,1411
Mar 2001,1407
Apr 2001,1421
May 2001,1419
Jun 2001,1426
Jul 2001,1427
Aug 2001,1436
Sep 2001,1437
Oct 2001,1443
Nov 2001,1448
Dec 2001,1454
Jan 2002,1458
Feb 2002,1453
Mar 2002,1450
Apr 2002,1466
May 2002,1472
Jun 2002,1479
Jul 2002,1481
Aug 2002,1480
Sep 2002,1482
Oct 2002,1483
Nov 2002,1488
Dec 2002,1490
Jan 2003,1495
Feb 2003,1484
Mar 2003,1508
Apr 2003,1511
May 2003,1514
Jun 2003,1518
Jul 2003,1521
Aug 2003,1528
Sep 2003,1533
Oct 2003,1541
Nov 2003,1543
Dec 2003,1551
Jan 2004,1557
Feb 2004,1535
Mar 2004,1563
Apr 2004,1575
May 2004,1579
Jun 2004,1583
Jul 2004,1590
Aug 2004,1594
Sep 2004,1607
Oct 2004,1617
Nov 2004,1618
Dec 2004,1620
Jan 2005,1635
Feb 2005,1622
Mar 2005,1633
Apr 2005,1639
May 2005,1650
Jun 2005,1653
Jul 2005,1664
Aug 2005,1675
Sep 2005,1681
Oct 2005,1681
Nov 2005,1690
Dec 2005,1694
Jan 2006,1703
Feb 2006,1719
Mar 2006,1723
Apr 2006,1717
May 2006,1725
Jun 2006,1743
Jul 2006,1738
Aug 2006,1737
Sep 2006,1740
Oct 2006,1750
Nov 2006,1759
Dec 2006,1790
Jan 2007,1822
Feb 2007,1846
Mar 2007,1806
Apr 2007,1788
May 2007,1803
Jun 2007,1815
Jul 2007,1820
Aug 2007,1825
Sep 2007,1833
Oct 2007,1823
Nov 2007,1840
Dec 2007,1843
Jan 2008,1901
Feb 2008,1927
Mar 2008,1907
Apr 2008,1863
May 2008,1876
Jun 2008,1873
Jul 2008,1879
Aug 2008,1880
Sep 2008,1880
Oct 2008,1886
Nov 2008,1883
Dec 2008,1888
Jan 2009,1880
Feb 2009,1815
Mar 2009,1884
Apr 2009,1895
May 2009,1888
Jun 2009,1890
Jul 2009,1887
Aug 2009,1890
Sep 2009,1894
Oct 2009,1894
Nov 2009,1901
Dec 2009,1904
Jan 2010,1906
Feb 2010,1915
Mar 2010,1914
Apr 2010,1917
May 2010,1924
Jun 2010,1924
Jul 2010,1920
Aug 2010,1928
Sep 2010,1935
Oct 2010,1936
Nov 2010,1941
Dec 2010,1946
Jan 2011,1964
Feb 2011,1963
Mar 2011,1964
Apr 2011,1957
May 2011,1964
Jun 2011,1982
Jul 2011,1976
Aug 2011,1966
Sep 2011,1969
Oct 2011,1976
Nov 2011,1979
Dec 2011,1980
Jan 2012,1972
Feb 2012,1980
Mar 2012,1981
Apr 2012,1994
May 2012,1995
Jun 2012,2004
Jul 2012,2005
Aug 2012,2009
Sep 2012,2002
Oct 2012,2000
Nov 2012,2007
Dec 2012,1999
Jan 2013,1998
Feb 2013,2002
Mar 2013,1976
Apr 2013,2060
May 2013,2029
Jun 2013,2023
Jul 2013,2019
Aug 2013,2019
Sep 2013,2020
Oct 2013,2020
Nov 2013,2021
Dec 2013,2026
Jan 2014,2032
Feb 2014,2045
Mar 2014,1998
Apr 2014,2033
May 2014,2034
Jun 2014,2036
Jul 2014,2027
Aug 2014,2035
Sep 2014,2049
Oct 2014,2058
Nov 2014,2058
Dec 2014,2073
Jan 2015,2061
Feb 2015,2074
Mar 2015,2079
Apr 2015,2085
May 2015,2088
Jun 2015,2083
Jul 2015,2097
Aug 2015,2099
Sep 2015,2092
Oct 2015,2095
Nov 2015,2099
Dec 2015,2110
Jan 2016,2119
Feb 2016,2106
Mar 2016,2131
Apr 2016,2136
May 2016,2137
Jun 2016,2136
Jul 2016,2149
Aug 2016,2143
Sep 2016,2144
Oct 2016,2152
Nov 2016,2158
Dec 2016,2149
Jan 2017,2154
Feb 2017,2164
Mar 2017,2177
Apr 2017,2175
May 2017,2181
Jun 2017,2199
Jul 2017,2183
Aug 2017,2195
Sep 2017,2206
Oct 2017,2202
Nov 2017,2207
Dec 2017,2215
Jan 2018,2210
Feb 2018,2223
Mar 2018,2251
Apr 2018,2221
May 2018,2233
Jun 2018,2244
Jul 2018,2254
Aug 2018,2265
Sep 2018,2270
Oct 2018,2295
Nov 2018,2276
Dec 2018,2284
Jan 2019,2294
Feb 2019,2302
Mar 2019,2310
Apr 2019,2309
May 2019,2319
Jun 2019,2330
Jul 2019,2343
Aug 2019,2339
Sep 2019,2364
Oct 2019,2350
Nov 2019,2347
Dec 2019,2340
Jan 2020,2363
Feb 2020,2366
Mar 2020,2347
Apr 2020,2283
May 2020,2288
Jun 2020,2296
Jul 2020,2339
Aug 2020,2385
Sep 2020,2415
Oct 2020,2436
Nov 2020,2469
Dec 2020,2457
Jan 2021,2471
Feb 2021,2462
Mar 2021,2423
Apr 2021,2493
May 2021,2513
Jun 2021,2495
Jul 2021,2512
Aug 2021,2521
Sep 2021,2529
Oct 2021,2541
Nov 2021,2557
Dec 2021,2600
Jan 2022,2600
Feb 2022,2605
Mar 2022,2662
Apr 2022,2617
May 2022,2623
Jun 2022,2651
Jul 2022,2655
